INFO -   Found event LogValue in TX 0x3e46632c5f10794aa495c6e61e480772da4ad79f0426fa63ffa82370130d0562 at block 17827641, sent from: 0x81FE72B5A8d1A857d176C3E7d5Bd2679A9B85763
INFO -   Found event LogValue in TX 0x564d500fdfb9f9a3357c071ae9d6966704dc8b0afa5d44ab0f0441e43b6e3410 at block 21478759, sent from: 0x81FE72B5A8d1A857d176C3E7d5Bd2679A9B85763
INFO -   Found event LogValue in TX 0x564d500fdfb9f9a3357c071ae9d6966704dc8b0afa5d44ab0f0441e43b6e3410 at block 21478759, sent from: 0xf185d0682d50819263941e5f4EacC763CC5C6C42
INFO -   Found event LogValue in TX 0x564d500fdfb9f9a3357c071ae9d6966704dc8b0afa5d44ab0f0441e43b6e3410 at block 21478759, sent from: 0xFe7a2aC0B945f12089aEEB6eCebf4F384D9f043F
INFO -   Found event LogValue in TX 0x564d500fdfb9f9a3357c071ae9d6966704dc8b0afa5d44ab0f0441e43b6e3410 at block 21478759, sent from: 0xeE7F0b350aA119b3d05DC733a4621a81972f7D47
INFO -   Found event LogValue in TX 0xce971e758807153af7e8f5053f539c658135380c52d024c2bd6822208613617a at block 21479333, sent from: 0x81FE72B5A8d1A857d176C3E7d5Bd2679A9B85763
INFO -   Found event LogValue in TX 0x77d3f86e8bb0b1cf84c60e342c64eee9ad596b597758e0a001998af2aa6ac8b2 at block 21481716, sent from: 0xd800ca44fFABecd159c7889c3bf64a217361AEc8
INFO -   Found event LogValue in TX 0xd92563137c4de2ee39116696add142c3247cb702a921ab58b69861d5a7e2d347 at block 21498873, sent from: 0xFe7a2aC0B945f12089aEEB6eCebf4F384D9f043F
INFO -   Found event LogValue in TX 0x131e516e56fc181f33dc32c9cabe54a61fbf9c0d9d720c2a13eaa9df36b20383 at block 21522420, sent from: 0xf185d0682d50819263941e5f4EacC763CC5C6C42
INFO -   Found event LogValue in TX 0xf5347c8253eabf9aa0f6738a2b4ad69cc659c246f49b215a092a5b3265774c33 at block 21528421, sent from: 0xd800ca44fFABecd159c7889c3bf64a217361AEc8
INFO -   Found event LogValue in TX 0x9fa145b1a12a9ca4a7160a05f13b38c055f2f941ce3f1d932c35ccebe2c6c72c at block 21557606, sent from: 0xeE7F0b350aA119b3d05DC733a4621a81972f7D47
